OBJECTID *,A.T. Region Acronym,Trail Club Acronym,Campsite Name,Status,In FMSS?,FMSS Name,FMSS Location ID *,GIS ID,Type of Campsite,Number of Sites,Number of 8x8 Tentsites,Number of Constructed Tent Pads,Predominant Tent Pad Perimeter Material,Number of Constructed Tent Platforms,Predominant Tent Platform Deck Material,Number of Metal Fire Rings,Number of Mortared Fire Rings,Number of Food Boxes,Number of Food Cables,Number of Food Poles,Number of Metal Storage Boxes,Number of Plastic Storage Boxes,Number of Wooden Storage Boxes,Number of Bulletin Boards/Kiosks,Number of Directional/Wayfinding Signs,Number of Educational/Interpretative Signs,Number of Identification/Entrance Signs,Number of Regulatory/Safety Signs,Number of Bollards,Number of Boulders,Number of Cattle Guards,Number of Gates,Number of Stiles,Number of Fences,Total Fence Length Feet,Predominant Fence Material,Photos Taken?,Year Built,Comments,FMSS Quantity,Description,FBMS ID,Optimizer Band,Asset Priority Index,Historic Status,State,County,A.T. Region,Congressional District,Trail_Club,Northern Maintainer Boundary,Southern Maintainer Boundary,A.T. Maintainer Section,Wilderness Area,Ownership,Latitude,Longitude,Maximum PDOP,Maximum HDOP,Correction Type,Receiver Type,GPS Date,GPS Time,Update Status,Feature Name,Datafile,Unfiltered Positions,Filtered Positions,Data Dictionary,GPS Week,GNSS Height,Vertical Precision,Horizontal Precision,Standard Deviation,Point X,Point Y,GFID,Source,Version,Publish?,Creator,Creation Date,Editor,Edit Date,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,GlobalID *,Shape *
60,NERO,DOC,Smarts Mtn Fire Warden's Cabin Campsite,Official A.T. Campsite,Yes,DOC Smarts Mtn Fire Warden's Cabin Campsite,244722,NA,Designated Campsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,None,Yes,1990,,0.004408,DOC Smarts Mtn Fire Warden's Cabin Campsite,IB14001000208620001533,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Dartmouth Outing Club,Smarts Mtn. Sum.,Lambert Ridge,Smarts Mtn. Sum. to Lambert Ridge,N,FEDERAL FEE - USFS WHITE MTN NF,43.82530976,-72.03967619,1.6,0.9,Uncorrected,Geo 7x,9/2/2015,11:50:44 AM,New,Campsit2,File Not Specified,30,30,AT 2015 Inventory,1860,950.715,24.3,14.5,0.584379,-72.039676,43.82531,{e2199508-a7db-4471-aa05-e87729ce7cad},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1IwkwKrdapniWPDx4cYn7aqpwhrX45ueN/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/19Qo2uTljQK8_9lT7QtbqtslQCd4A3nTM/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1x0nvIvckIWeqq0RgK0pkQEnzmWaA2Zg9/view?usp=drivesdk,,,,,,,,{e3ca9315-0220-4728-a70a-2b8d443b0b9a},Point
61,NERO,AMC,Trident Col Group Campsite,Official A.T. Campsite,Yes,AMC Trident Col Group Campsite,244706,CS663,Designated Groupsite,4,0,4,Stone,0,None,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1985,,0.005877,AMC Trident Col Group Campsite,IB14001000208620001521,1,100,N,New Hampshire,COOS,New England,Congressional District 2,Appalachian Mountain Club,Trident Col Campsite,Centennial Tr,Trident Col Campsite to Centennial Tr,N,FEDERAL FEE - USFS WHITE MTN NF,44.44250557,-71.13679543,2.7,1.2,Uncorrected,Geo 7x,7/7/2016,2:55:38 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1904,582.447,25.6,14.6,1.834062,-71.136795,44.442506,{b3880620-9487-4d9a-8d63-c7916ca8b9c5},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1K_gFhrX4p_rNCq3GJ6tsuN-QLhkyDJKt/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1LSVPg4haS7oNIwY222Loy8a1MP6R6PYb/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1bejT6XGmAKKAs9csYZC6knH17lKJQZ3y/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1UKGDQ38ax4mZAXhZi9Hy6QyE9JMKbMlo/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1P5upO3maHsmHZNEnaFZ4exFHSXEOH2gc/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1_S1oLKNu3bUxY01cwqf7YXR-KZYiSvXF/view?usp=drivesdk,,,,,{cc5a1a9c-99f8-4f38-b840-57829be1eab4},Point
62,NERO,MATC,West Carry Pond Lean-to Campsite,Official A.T. Campsite,Yes,MATC West Carry Pond Lean-to Campsite,102003,CS513,Designated Campsite,1,0,1,Log,0,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1989,,0.001469,MATC West Carry Pond Lean-to Campsite,IB14001000208620000264,1,100,Y,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,SW corner of West Carry Pond,Long Falls Dam Rd.,SW corner of West Carry Pond to Long Falls Dam Rd.,N,FEDERAL FEE - NPS APPA,45.15789341,-70.09991116,1.8,1.1,Uncorrected,Geo 7x,9/21/2016,5:54:53 PM,New,Campsite,File Not Specified,38,38,AT 2015 Inventory,1915,390.289,16.5,12.8,2.417253,-70.099911,45.157893,{fd4123d5-d3af-4701-8863-668dce6ce833},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1-MPW4Q5cWGs7DMQ8N9_odBgZ6zz00BiF/view?usp=drivesdk,,,,,,,,,,{07475d2f-db86-41f1-ab27-405263c25103},Point
63,NERO,AMC-CT,Mt. Algo Shelter Campsite,Official A.T. Campsite,Yes,AMC-CT Mt. Algo Shelter Campsite,250513,CS210,Designated Campsite,8,8,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,None,Yes,1986,,0.011754,AMC-CT Mt. Algo Shelter Campsite,IB14001000208620001464,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Route 341,Ledges S. of Thayer Brook(ApproximateLocation),Route 341 to Ledges S. of Thayer Brook(ApproximateLocation),N,FEDERAL FEE - NPS APPA,41.73209324,-73.49628921,2.3,1.2,Uncorrected,Geo 7x,10/20/2015,4:40:57 PM,New,Campsite,File Not Specified,33,33,AT 2015 Inventory,1867,169.603,26.5,16.8,1.501088,-73.496289,41.732093,{475a028a-34d4-48d8-ae6f-83f3634cb530},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1K9Hqggiqrn8qHyLl1yMVWx2XTnIoOftX/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1IWikJD1gtUXchYDwuaU2ux-Dhlw19Yjd/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1QA1FhD11HsK8u5TbCve5vwBifVRGAWiF/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/12iVf7K2k2lCe-Zw9twQliCFsNkYV2Fde/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1yXp68jd8D_LcgJy03zTwOQJUwxaJBtov/view?usp=drivesdk,,,,,,{497a75b9-8124-41ec-870e-4ba36273c669},Point
64,NERO,MATC,Spaulding Mtn Lean-to Campsite,Official A.T. Campsite,Yes,MATC Spaulding Mtn Lean-to Campsite,250557,CS735,Designated Campsite,1,1,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,None,Yes,1989,,0.001469,MATC Spaulding Mtn Lean-to Campsite,IB14001000208620001506,1,100,N,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,Jct. of Spaulding Mt. Side Trail,Jct. of Mt. Abraham Side Trail,Jct. of Spaulding Mt. Side Trail to Jct. of Mt. Abraham Side Trail,N,FEDERAL FEE - NPS APPA,44.99572272,-70.34124661,1.9,1,Uncorrected,Geo 7x,9/7/2016,8:50:58 AM,New,Campsite,File Not Specified,69,69,AT 2015 Inventory,1913,939.806,28.8,11.2,2.045249,-70.341247,44.995723,{0dc625c3-b490-40af-9146-4e59649521e0},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1LArAECr3GXl7H4deNgn-8tZXI7D_Lmlw/view?usp=drivesdk,,,,,,,,,,{9ccafc2f-ea9e-4070-b7dc-b32004c9b69d},Point
65,NERO,AMC-CT,Paradise Lane Group Campsite,Official A.T. Campsite,Yes,AMC-CT Paradise Lane Group Campsite,250515,NA,Designated Groupsite,7,5,2,Stone,0,None,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,None,Yes,1980,,0.010285,AMC-CT Paradise Lane Group Campsite,IB14001000208620001465,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Paradise Lane,Umt. Tr. Junction,Paradise Lane to Umt. Tr. Junction,N,FEDERAL FEE - NPS APPA,42.03345484,-73.4404032,1.8,1.1,Uncorrected,Geo 7x,10/19/2015,3:27:37 PM,New,Campsite,File Not Specified,36,36,AT 2015 Inventory,1867,453.278,28.1,17.1,1.946061,-73.440403,42.033455,{f754cae8-e7ed-4081-b1ea-e2284c15ec20},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/19-jum9dJLJYu3X1UtGr2kaA-2v9b_-dX/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1YyJwmrHdU8khQKCT17fbYcYsQ4JlUGkL/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/15MKkvZI5SZugvJogXgT8lJN19nXthYOM/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1NAql8cyIc9PNwPBTDf_zX-4qsrxh5Jjr/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1m1APFD1K3nJ_YkKrZ_2Qlu8TQjOkkyna/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1RHMZkehDiqIOdzzsFIu-QIpClRdE27Zq/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1T6bogYBEU4ZZ3AcCeSLE3sfJVV76GHDM/view?usp=drivesdk,,,,{967f1e24-b985-4067-95f9-73fe3a1caab0},Point
66,NERO,AMC-WMA,Sage's Ravine Caretaker Campsite,Official A.T. Campsite,Yes,AMC-WMA Sage's Ravine Caretaker Campsite,250499,CS190,Designated Campsite,1,0,0,None,1,Dimensional Lumber,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,None,Yes,2002,,0.002296,AMC-WMA Sage's Ravine Caretaker Campsite,IB14001000208620001452,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Race Mtn summit,stream in Sages Ravine,Race Mtn summit to stream in Sages Ravine,N,STATE FEE - STATE OF MASSACHUSETTS - DEM - MT EVERETT STATE RESERVATION,42.05353759,-73.45272041,3.3,1.3,Uncorrected,Geo 7x,10/19/2015,1:28:35 PM,New,Campsite,File Not Specified,46,46,AT 2015 Inventory,1867,442.817,36.7,22.4,12.580232,-73.45272,42.053538,{0028314e-8550-43fc-94dc-32e5cb23b017},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1Z3qAtsETmSC_HskoV42rgj4cnRXpNEkq/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/13gX8ul7IclnP_Yqb6YpMCZr14dsYRVfO/view?usp=drivesdk,,,,,,,,,{fff22f85-62a5-4c48-aa45-955768573c9f},Point
67,NERO,GMC,Little Rock Pond Shelter Group Campsite,Official A.T. Campsite,Yes,GMC Little Rock Pond Shelter Group Campsite,250534,NA,Designated Groupsite,2,0,0,None,2,Dimensional Lumber,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,None,Yes,2010,,0.004591,GMC Little Rock Pond Shelter Group Campsite,IB14001000208620001483,1,100,N,Vermont,RUTLAND,New England,Congressional District (at Large),Green Mountain Club,White Rocks Mountain,Little Rock Pond Shelter,White Rocks Mountain to Little Rock Pond Shelter,N,FEDERAL FEE - USFS GREEN MTN NF,43.40403905,-72.95312511,1.9,1.6,Postprocessed Code,Geo 7x,9/14/2015,12:27:25 PM,New,Campsite,File Not Specified,39,39,AT 2015 Inventory,1862,535.368,1.9,1.5,0.309856,-72.953125,43.404039,{cf71318e-34f7-4de7-9440-8e3e3d809edb},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1ENrgxF8Zir1CQaRtDbI3_pSq8aoF52gg/view?usp=drivesdk,,,,,,,,,,{3c71e9b7-b799-45a5-b899-410fd115641f},Point
68,NERO,MATC,Bemis Mtn Lean-to Group Campsite,Official A.T. Campsite,Yes,MATC Bemis Mtn Lean-to Group Campsite,250540,CS553,Designated Groupsite,4,4,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1988,,0.005877,MATC Bemis Mtn Lean-to Group Campsite,IB14001000208620001489,1,100,N,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,Jct Bemis Mtn Lean-to,Bemis Stream Trail,Jct Bemis Mtn Lean-to to Bemis Stream Trail,N,FEDERAL FEE - NPS APPA,44.81054485,-70.75580207,1.3,0.8,Uncorrected,Geo 7x,8/23/2016,4:28:04 PM,New,Campsite,File Not Specified,69,69,AT 2015 Inventory,1911,829.842,17.2,11.2,28.550776,-70.755802,44.810545,{77959699-e33b-493b-817e-0cacd60be58b},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1_d9MIISA8g8jLHuLdM2tfzEZBAxYs6al/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1dE8NQxbggOtPEEfCKWuPVqmgNRN6ITGB/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1SyktcUEk1ynmboAE6inxQHKzaF-DwoV2/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1Y5oJOmj05ihl-gb5OWRHnqEj0690MN6i/view?usp=drivesdk,,,,,,,{ab6d6228-3135-4767-a809-33c1252f19ae},Point
69,NERO,GMC,Peru Peak Shelter Campsite,Official A.T. Campsite,Yes,GMC Peru Peak Shelter Campsite,250535,NA,Designated Campsite,1,0,0,None,1,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1980,,0.002296,GMC Peru Peak Shelter Campsite,IB14001000208620001484,1,100,N,Vermont,BENNINGTON,New England,Congressional District (at Large),Green Mountain Club,Baker Peak Trail,Peru Peak,Baker Peak Trail to Peru Peak,N,FEDERAL FEE - USFS GREEN MTN NF,43.30116593,-72.95234025,1.8,1,Uncorrected,Geo 7x,9/15/2015,4:11:31 PM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1862,762.008,21.4,16,1.479393,-72.95234,43.301166,{4b8ef2c9-b1b6-455d-9ea1-4c0d9fa24445},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1DQtohyrCcpt8C2Solcc3Z7YkvhxK2OcP/view?usp=drivesdk,,,,,,,,,,{6df3e007-f5b9-4b0a-9f3a-4b8965703130},Point
70,NERO,MATC,Horns Pond Group Campsite,Official A.T. Campsite,Yes,MATC Horns Pond Group Campsite,250546,NA,Designated Groupsite,11,6,5,Other,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1997,,0.016162,MATC Horns Pond Group Campsite,IB14001000208620001495,1,100,N,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,Summit of South Horn of Bigelow,Jct. of Bigelow Range Trail,Summit of South Horn of Bigelow to Jct. of Bigelow Range Trail,N,STATE FEE - STATE OF MAINE - BIGELOW PRESERVE,45.14357668,-70.3297293,2.2,1.3,Uncorrected,GeoXT 6000,6/26/2017,1:27:22 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1955,937.151,21.7,14.2,2.797558,-70.329729,45.143577,{3746f938-d4b6-4c90-b4f0-0f8e2749e8e3},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1Z06_fxmMq8zwZYEv-VChERC0ErNxJC7T/view?usp=drivesdk,https://drive.google.com/file/d/1V69EQH4yE1kOlrMVEwpbdzg2stow9M8r/view?usp=drivesdk,https://drive.google.com/file/d/1whTMUFV15ZGYKj0EViakraglo1t5Nskr/view?usp=drivesdk,https://drive.google.com/file/d/1X-NKfxWNqE83B65jZWUhZC1s_eV1r14x/view?usp=drivesdk,https://drive.google.com/file/d/1NP3O2so1fgOL5DCHNZEPiwF_rHSr3Ftg/view?usp=drivesdk,https://drive.google.com/file/d/1JxHMsnBAIvNSZ1aI50u26kKOu10EoMV0/view?usp=drivesdk,https://drive.google.com/file/d/1Xr1CQjdJWT0ZPkgRFRxZCBRv8LOxFBEH/view?usp=drivesdk,,,,{4475aec7-a4d8-43c1-b73d-d9825deb5696},Point
71,NERO,AMC-CT,Sharon Mtn Campsite,Official A.T. Campsite,Yes,AMC-CT Sharon Mtn Campsite,250518,CS563,Designated Campsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,None,Yes,1985,,0.008815,AMC-CT Sharon Mtn Campsite,IB14001000208620001469,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Hang Glider View,Sharon Mountain Road,Hang Glider View to Sharon Mountain Road,N,STATE FEE - STATE OF CONNECTICUT - DEP - HOUSATONIC SF,41.91022266,-73.39461072,2,1.1,Uncorrected,Geo 7x,10/27/2015,12:48:35 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1868,307.82,32.9,18.8,1.541507,-73.394611,41.910223,{8e0bfbf1-4b75-4a50-b155-f34b8cace5bb},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1CVg1UTVO-_hgs-FTdNfX-gNl2QdXvqDM/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1Zjbq5omhNRzGFrNxzSqwT0nt2q8ALOOb/view?usp=drivesdk,,,,,,,,,{f9a4d05c-8e91-4e20-a8b9-372eaf817639},Point
72,NERO,AMC-WMA,Kay Wood Shelter Campsite,Official A.T. Campsite,Yes,AMC-WMA Kay Wood Shelter Campsite,250491,CS574,Designated Campsite,5,0,5,Stone,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1980,Metal Food Box shared with shelter,0.007346,AMC-WMA Kay Wood Shelter Campsite,IB14001000208620001446,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Grange Hall Rd,Blotz Rd,Grange Hall Rd to Blotz Rd,N,STATE FEE - STATE OF MASSACHUSETTS,42.45205049,-73.1616141,2,1.2,Uncorrected,Geo 7x,10/14/2015,3:49:22 PM,New,Campsite,File Not Specified,48,48,AT 2015 Inventory,1866,524.856,22.4,14.6,3.384533,-73.161614,42.45205,{84c4f7a9-01f6-4054-9ace-8ca9fdcd0421},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1XcYYp_EsRoY5X0i-FViK1y978Dt38bvM/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1BQbUREChPh-tGHnmWYBHmjS82kTxcsD9/view?usp=drivesdk,,,,,,,,,{cbb4bb6c-be6f-46e4-b574-a4447cfff0e9},Point
73,NERO,GMC,Churchhill Scott Shelter Campsite,Official A.T. Campsite,Yes,GMC Churchhill Scott Shelter Campsite,250529,NA,Designated Campsite,1,0,0,None,1,Dimensional Lumber,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,None,Yes,2002,,0.002296,GMC Churchhill Scott Shelter Campsite,IB14001000208620001479,1,100,N,Vermont,RUTLAND,New England,Congressional District (at Large),Green Mountain Club,Long Trail Maine Junction,Cooper Lodge,Long Trail Maine Junction to Cooper Lodge,N,FEDERAL FEE - USFS GREEN MTN NF,43.64522618,-72.8532922,1.7,0.9,Uncorrected,Geo 7x,9/9/2015,12:15:52 PM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1861,762.173,19.9,13.4,1.899219,-72.853292,43.645226,{8ed1f7a0-1ea7-4e8d-86bc-9f463f72d322},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1I9xljOCGyyEdWGrE2Eq3kJtd3OdT9I8t/view?usp=drivesdk,,,,,,,,,,{21a00cfd-7e93-433a-98d0-bec680f1a816},Point
74,NERO,AMC,Kinsman Pond Shelter Campsite,Official A.T. Campsite,Yes,AMC Kinsman Pond Shelter Campsite,244714,CS688,Designated Campsite,4,0,0,None,4,Dimensional Lumber,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,None,Yes,2007,,0.009183,AMC Kinsman Pond Shelter Campsite,IB14001000208620001530,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Appalachian Mountain Club,Around Lonesome Lake,Fishin' Jimmy,Around Lonesome Lake to Fishin' Jimmy,N,FEDERAL FEE - USFS WHITE MTN NF,44.1374009,-71.73196261,1.5,0.8,Uncorrected,Geo 7x,9/28/2015,5:34:26 PM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1864,1121.225,25.6,15.2,1.584244,-71.731963,44.137401,{d90a8eaa-aaab-408f-bfb0-2b0a582c6548},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1LUabq3MK20tC4YbGR39B8hE7OsNHqTTQ/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1Utx8NUOz2eRSveUq56f3YEEVGX_ZKGFo/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1bbWI0Ou-nlPgtLMUyCtPscSuIHLu6x6H/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1nA4kSt_PC3h8JjHzaG2ygGuFR_UFOYLi/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/14bts31gFvgtSd_WZmD08pEuV8dLlY1_6/view?usp=drivesdk,,,,,,{e978b1c0-b456-48e1-8160-f7a6bd8607bb},Point
75,NERO,AMC,Full Goose Shelter Campsite,Official A.T. Campsite,Yes,AMC Full Goose Shelter Campsite,244702,CS623,Designated Campsite,4,0,1,Stone,3,Dimensional Lumber,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1978,GIS IDs CS623-CS628,0.008356,AMC Full Goose Shelter Campsite,IB14001000208620001519,1,100,N,Maine,OXFORD,New England,Congressional District 2,Appalachian Mountain Club,Full Goose Campsite,Goose Eye Tr.,Full Goose Campsite to Goose Eye Tr.,N,STATE FEE - STATE OF MAINE,44.52508745,-70.980741,1.6,0.8,Uncorrected,Geo 7x,7/14/2016,8:09:52 AM,New,Campsite,File Not Specified,54,54,AT 2015 Inventory,1905,886.928,16.7,12.7,2.773479,-70.980741,44.525087,{9767b125-c756-4f90-bf16-8e058cba04c9},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/12GqoPDrhrBC7XYD3kWdIv0DJYo5XlnkG/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1KqSRbVsfb9B1GTvAlcaDp3nrdoVEoe5J/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1ixmMo_ZZVO2mhJqyq09iqCqwPecoOZ85/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1nC2g4m68oEN0eHDAaXqcNwUmebnawGYS/view?usp=drivesdk,,,,,,,{62659b3c-a54a-4e11-a1b3-8afe8fecd4eb},Point
